seatId,zoneKey,row,number,svgSelector
S1-A-01,S1,A,01,"#seat_S1-A-01"
S1-A-02,S1,A,02,"#seat_S1-A-02"
S1-A-03,S1,A,03,"#seat_S1-A-03"
S1-B-01,S1,B,01,"#seat_S1-B-01"
S1-B-02,S1,B,02,"#seat_S1-B-02"
S2-A-01,S2,A,01,"#seat_S2-A-01"
S2-A-02,S2,A,02,"#seat_S2-A-02"
S2-A-03,S2,A,03,"#seat_S2-A-03"
S2-A-04,S2,A,04,"#seat_S2-A-04"
S2-B-01,S2,B,01,"#seat_S2-B-01"
S2-B-02,S2,B,02,"#seat_S2-B-02"
S2-B-03,S2,B,03,"#seat_S2-B-03"
S2-B-04,S2,B,04,"#seat_S2-B-04"
S2-C-01,S2,C,01,"#seat_S2-C-01"
S2-C-02,S2,C,02,"#seat_S2-C-02"
S2-C-03,S2,C,03,"#seat_S2-C-03"
S2-C-04,S2,C,04,"#seat_S2-C-04"
S3-A-01,S3,A,01,"#seat_S3-A-01"
S3-A-02,S3,A,02,"#seat_S3-A-02"
S3-A-03,S3,A,03,"#seat_S3-A-03"
S3-B-01,S3,B,01,"#seat_S3-B-01"
S3-B-02,S3,B,02,"#seat_S3-B-02"
E-A-01,E,A,01,"#seat_E-A-01"
E-A-02,E,A,02,"#seat_E-A-02"
E-A-03,E,A,03,"#seat_E-A-03"
E-B-01,E,B,01,"#seat_E-B-01"
E-B-02,E,B,02,"#seat_E-B-02"
E-B-03,E,B,03,"#seat_E-B-03"
N-A-01,N,A,01,"#seat_N-A-01"
N-A-02,N,A,02,"#seat_N-A-02"
N-A-03,N,A,03,"#seat_N-A-03"
N-A-04,N,A,04,"#seat_N-A-04"
N-A-05,N,A,05,"#seat_N-A-05"
N-A-06,N,A,06,"#seat_N-A-06"
N-A-07,N,A,07,"#seat_N-A-07"
N-A-08,N,A,08,"#seat_N-A-08"
