zoneKey,metaZone,tariffCode,priceCents,partnerPriceCents,currency,channels
,S_LOW,NORMAL,1000,,EUR,public
,S_LOW,REDUCED,800,,EUR,public
,S_LOW,CHILD,100,,EUR,public
,S_HIGH,NORMAL,1200,,EUR,public
,S_HIGH,REDUCED,900,,EUR,public
,S_HIGH,CHILD,150,,EUR,public
E,,NORMAL,900,,EUR,public
E,,REDUCED,700,,EUR,public
E,,CHILD,90,,EUR,public
N,,NORMAL,2000,,EUR,public
N,,REDUCED,1600,,EUR,public
N,,CHILD,200,,EUR,public
FAN_ZONE,,NORMAL,500,,EUR,public
FAN_ZONE,,REDUCED,400,,EUR,public
FAN_ZONE,,CHILD,50,,EUR,public
