zoneKey,metaZone,tariffCode,priceCents,partnerPriceCents,currency,channels
,S_LOW,NORMAL,10000,,EUR,public
,S_LOW,REDUCED,8000,,EUR,public
,S_LOW,CHILD,1000,,EUR,public
,S_HIGH,NORMAL,12000,,EUR,public
,S_HIGH,REDUCED,9000,,EUR,public
,S_HIGH,CHILD,1500,,EUR,public
E,,NORMAL,9000,,EUR,public
E,,REDUCED,7000,,EUR,public
E,,CHILD,900,,EUR,public
N,,NORMAL,20000,,EUR,public
N,,REDUCED,16000,,EUR,public
N,,CHILD,2000,,EUR,public
FAN_ZONE,,NORMAL,5000,,EUR,public
FAN_ZONE,,REDUCED,4000,,EUR,public
FAN_ZONE,,CHILD,500,,EUR,public
