seatId,zoneKey,row,number,svgSelector
ORCH-A-01,ORCH,A,01,"#seat_ORCH-A-01"
ORCH-A-02,ORCH,A,02,"#seat_ORCH-A-02"
ORCH-A-03,ORCH,A,03,"#seat_ORCH-A-03"
ORCH-A-04,ORCH,A,04,"#seat_ORCH-A-04"
ORCH-A-05,ORCH,A,05,"#seat_ORCH-A-05"
ORCH-A-06,ORCH,A,06,"#seat_ORCH-A-06"
ORCH-A-07,ORCH,A,07,"#seat_ORCH-A-07"
ORCH-A-08,ORCH,A,08,"#seat_ORCH-A-08"
ORCH-A-09,ORCH,A,09,"#seat_ORCH-A-09"
ORCH-A-10,ORCH,A,10,"#seat_ORCH-A-10"
ORCH-B-01,ORCH,B,01,"#seat_ORCH-B-01"
ORCH-B-02,ORCH,B,02,"#seat_ORCH-B-02"
ORCH-B-03,ORCH,B,03,"#seat_ORCH-B-03"
ORCH-B-04,ORCH,B,04,"#seat_ORCH-B-04"
ORCH-B-05,ORCH,B,05,"#seat_ORCH-B-05"
ORCH-B-06,ORCH,B,06,"#seat_ORCH-B-06"
ORCH-B-07,ORCH,B,07,"#seat_ORCH-B-07"
ORCH-B-08,ORCH,B,08,"#seat_ORCH-B-08"
ORCH-B-09,ORCH,B,09,"#seat_ORCH-B-09"
ORCH-B-10,ORCH,B,10,"#seat_ORCH-B-10"
ORCH-B-11,ORCH,B,11,"#seat_ORCH-B-11"
ORCH-B-12,ORCH,B,12,"#seat_ORCH-B-12"
ORCH-C-01,ORCH,C,01,"#seat_ORCH-C-01"
ORCH-C-02,ORCH,C,02,"#seat_ORCH-C-02"
ORCH-C-03,ORCH,C,03,"#seat_ORCH-C-03"
ORCH-C-04,ORCH,C,04,"#seat_ORCH-C-04"
ORCH-C-05,ORCH,C,05,"#seat_ORCH-C-05"
ORCH-C-06,ORCH,C,06,"#seat_ORCH-C-06"
ORCH-C-07,ORCH,C,07,"#seat_ORCH-C-07"
ORCH-C-08,ORCH,C,08,"#seat_ORCH-C-08"
ORCH-C-09,ORCH,C,09,"#seat_ORCH-C-09"
ORCH-C-10,ORCH,C,10,"#seat_ORCH-C-10"
ORCH-C-11,ORCH,C,11,"#seat_ORCH-C-11"
ORCH-C-12,ORCH,C,12,"#seat_ORCH-C-12"
ORCH-C-13,ORCH,C,13,"#seat_ORCH-C-13"
ORCH-C-14,ORCH,C,14,"#seat_ORCH-C-14"
ORCH-D-01,ORCH,D,01,"#seat_ORCH-D-01"
ORCH-D-02,ORCH,D,02,"#seat_ORCH-D-02"
ORCH-D-03,ORCH,D,03,"#seat_ORCH-D-03"
ORCH-D-04,ORCH,D,04,"#seat_ORCH-D-04"
ORCH-D-05,ORCH,D,05,"#seat_ORCH-D-05"
ORCH-D-06,ORCH,D,06,"#seat_ORCH-D-06"
ORCH-D-07,ORCH,D,07,"#seat_ORCH-D-07"
ORCH-D-08,ORCH,D,08,"#seat_ORCH-D-08"
ORCH-D-09,ORCH,D,09,"#seat_ORCH-D-09"
ORCH-D-10,ORCH,D,10,"#seat_ORCH-D-10"
ORCH-D-11,ORCH,D,11,"#seat_ORCH-D-11"
ORCH-D-12,ORCH,D,12,"#seat_ORCH-D-12"
ORCH-D-13,ORCH,D,13,"#seat_ORCH-D-13"
ORCH-D-14,ORCH,D,14,"#seat_ORCH-D-14"
ORCH-D-15,ORCH,D,15,"#seat_ORCH-D-15"
ORCH-D-16,ORCH,D,16,"#seat_ORCH-D-16"
MEZZ-A-01,MEZZ,A,01,"#seat_MEZZ-A-01"
MEZZ-A-02,MEZZ,A,02,"#seat_MEZZ-A-02"
MEZZ-A-03,MEZZ,A,03,"#seat_MEZZ-A-03"
MEZZ-A-04,MEZZ,A,04,"#seat_MEZZ-A-04"
MEZZ-A-05,MEZZ,A,05,"#seat_MEZZ-A-05"
MEZZ-A-06,MEZZ,A,06,"#seat_MEZZ-A-06"
MEZZ-A-07,MEZZ,A,07,"#seat_MEZZ-A-07"
MEZZ-A-08,MEZZ,A,08,"#seat_MEZZ-A-08"
MEZZ-A-09,MEZZ,A,09,"#seat_MEZZ-A-09"
MEZZ-A-10,MEZZ,A,10,"#seat_MEZZ-A-10"
MEZZ-A-11,MEZZ,A,11,"#seat_MEZZ-A-11"
MEZZ-A-12,MEZZ,A,12,"#seat_MEZZ-A-12"
MEZZ-A-13,MEZZ,A,13,"#seat_MEZZ-A-13"
MEZZ-A-14,MEZZ,A,14,"#seat_MEZZ-A-14"
MEZZ-B-01,MEZZ,B,01,"#seat_MEZZ-B-01"
MEZZ-B-02,MEZZ,B,02,"#seat_MEZZ-B-02"
MEZZ-B-03,MEZZ,B,03,"#seat_MEZZ-B-03"
MEZZ-B-04,MEZZ,B,04,"#seat_MEZZ-B-04"
MEZZ-B-05,MEZZ,B,05,"#seat_MEZZ-B-05"
MEZZ-B-06,MEZZ,B,06,"#seat_MEZZ-B-06"
