zoneKey,metaZone,tariffCode,priceCents,partnerPriceCents,currency,channels
ORCH,,NORMAL,4500,,EUR,public
ORCH,,REDUCED,3500,,EUR,public
ORCH,,CHILD,2000,,EUR,public
MEZZ,,NORMAL,3500,,EUR,public
MEZZ,,REDUCED,2800,,EUR,public
MEZZ,,CHILD,1500,,EUR,public
BALC,,NORMAL,2500,,EUR,public
BALC,,REDUCED,2000,,EUR,public
BALC,,CHILD,1000,,EUR,public
,LOGES,NORMAL,6000,,EUR,public
,LOGES,REDUCED,5000,,EUR,public
,LOGES,CHILD,3000,,EUR,public
STANDING,,NORMAL,1500,,EUR,public
STANDING,,REDUCED,1200,,EUR,public
STANDING,,CHILD,800,,EUR,public
