zoneKey,metaZone,tariffCode,priceCents,partnerPriceCents,currency,channels
ORCH,,NORMAL,45000,,EUR,public
ORCH,,REDUCED,35000,,EUR,public
ORCH,,CHILD,20000,,EUR,public
MEZZ,,NORMAL,35000,,EUR,public
MEZZ,,REDUCED,28000,,EUR,public
MEZZ,,CHILD,15000,,EUR,public
BALC,,NORMAL,25000,,EUR,public
BALC,,REDUCED,20000,,EUR,public
BALC,,CHILD,10000,,EUR,public
,LOGES,NORMAL,60000,,EUR,public
,LOGES,REDUCED,50000,,EUR,public
,LOGES,CHILD,30000,,EUR,public
STANDING,,NORMAL,15000,,EUR,public
STANDING,,REDUCED,12000,,EUR,public
STANDING,,CHILD,8000,,EUR,public
